,Body,Radius,Volume,Mass,Surface area,Density,Gravity,Type,Discovery
0,Sun,695508.0,1409300000.0,1989100000.0,6078700.0,1.409,274.0,G2V-class star,prehistoric
1,Jupiter,69911.0,1431280.0,1898187.0,61419.0,1.3262,24.79,gas giant planet; has rings,prehistoric
2,Saturn,58232.0,827130.0,568317.0,42612.0,0.6871,10.44,gas giant planet; has rings,prehistoric
3,Uranus,25362.0,68340.0,86813.0,8083.1,1.27,8.87,ice giant planet; has rings,1781
4,Neptune,24622.0,62540.0,102413.0,7618.3,1.638,11.15,ice giant planet; has rings,1846
5,Earth,6371.0084,1083.21,5972.4,510.06447,5.5136,9.81,terrestrial planet,prehistoric
6,Venus,6052.0,928.43,4867.5,460.2,5.243,8.87,terrestrial planet,prehistoric
7,Mars,3389.5,163.18,641.71,144.37,3.9341,3.71,terrestrial planet,prehistoric
8,GanymedeJupiter III,2634.1,76.3,148.2,86.999,1.936,1.428,moon of Jupiter ,1610
9,TitanSaturn VI,2574.73,71.5,134.5,83.3054,1.88,1.354,moon of Saturn ,1655
10,Mercury,2439.4,60.83,330.11,74.797,5.4291,3.7,terrestrial planet,prehistoric
11,CallistoJupiter IV,2410.3,58.65,107.6,73.005,1.834,1.23603,moon of Jupiter ,1610
12,IoJupiter I,1821.6,25.32,89.32,41.698,3.528,1.797,moon of Jupiter ,1610
13,Moon Earth I,1737.5,21.958,73.46,37.937,3.344,1.625,moon of Earth ,prehistoric
14,EuropaJupiter II,1560.8,15.93,48.0,30.613,3.013,1.316,moon of Jupiter ,1610
15,TritonNeptune I,1353.4,10.38,21.39,23.018,2.061,0.782,moon of Neptune ,1846
16,Pluto134340,1188.3,7.057,13.03,17.79,1.854,0.62,dwarf planet; plutino; multiple,1930
17,Eris136199,1163.0,6.59,16.6,17.0,2.52,0.824,dwarf planet; SDO; binary,2003
18,Haumea136108,798.0,1.98,4.01,8.14,2.018,0.401,dwarf planet;resonant KBO ,2004
19,TitaniaUranus III,788.9,2.06,3.4,7.82,1.711,0.378,moon of Uranus,1787
20,RheaSaturn V,763.8,1.87,2.307,7.34,1.236,0.26,moon of Saturn,1672
21,OberonUranus IV,761.4,1.85,3.08,7.285,1.63,0.347,moon of Uranus,1787
22,IapetusSaturn VIII,735.6,1.66,1.806,6.8,1.088,0.223,moon of Saturn,1671
23,Makemake136472,715.0,1.53,,6.4,,0.57,dwarf planet; cubewano,2005
24,Gonggong225088,615.0,1.03,1.75,4.753,1.72,0.3,dwarf planet?; resonant SDO ,2007
25,CharonPluto I,606.0,0.932,1.586,4.578,1.7,0.288,moon of Pluto,1978
26,UmbrielUranus II,584.7,0.837,1.28,4.3,1.39,0.234,moon of Uranus,1851
27,ArielUranus I,578.9,0.813,1.25,4.211,1.66,0.269,moon of Uranus,1851
28,DioneSaturn IV,561.7,0.741,1.095,3.965,1.478,0.232,moon of Saturn,1684
29,Quaoar50000,543.0,0.737,1.2,3.83,2.0,0.3,cubewano; binary,2002
30,TethysSaturn III,533.0,0.624,0.617,3.57,0.984,0.145,moon of Saturn,1684
31,Sedna90377,498.0,0.516,,,,,sednoid; detached object,2003
32,Ceres1,469.7,0.433,0.938,2.85,2.17,0.28,dwarf planet; belt asteroid,1801
33,Orcus90482,455.0,0.404,0.548,,1.4,0.2,plutino; binary,2004
34,Salacia120347,423.0,0.3729,0.492,,1.5,0.165,cubewano; binary,2004
35,2002 MS4307261,400.0,0.2681,,,,,cubewano,2002
